Group Class code;Class code;January;February;March;April;May;June;July;August;September;October;November;December
122;1223;4,412,991;3,807,160;3,583,907;3,041,570;3,884,578;3,179,000;2,001,133;1,871,333;1,677,431;2,271,125;1,674,836;1,789,267
122;1224;3,321,884;2,980,479;3,418,171;3,338,698;3,854,439;3,562,945;3,632,020;3,382,320;3,635,054;3,779,593;3,209,258;3,470,233
122;1224;1,824,172;1,600,622;1,602,309;1,581,917;1,876,698;2,127,227;1,831,865;1,989,403;1,944,441;2,121,252;1,956,314;1,918,205
122;1224;48,864;45,892;100,903;150,09;131,783;117,803;135,765;166,935;131,422;137,752;129,948;154,546
122;1225;426,574;404,623;462,62;462,597;493,798;441,313;498,512;517,52;423,698;462,42;399,443;429,778
122;1225;426,598;384,965;408,837;408,077;434,813;384,368;400,811;397,453;364,857;409,591;366,561;392,582
122;1225;1,140,874;1,007,108;1,116,146;1,147,031;1,272,896;1,107,588;1,159,835;1,209,432;1,123,709;1,260,818;1,083,589;1,180,897
122;1225;569,748;475,705;470,292;475,952;556,588;494,149;494,534;495,548;482,877;536,226;459,043;515,839
122;1226;2,153,448;1,819,065;2,073,221;2,172,556;2,358,432;2,014,527;2,055,112;2,256,381;2,129,760;2,551,986;2,253,692;2,402,781
122;1226;415,641;399,783;391,955;388,058;262,41;197,63;315,183;362,231;355,352;416,39;225,131;320,154
123;1230;974,53;883,683;961,701;933,888;956,729;898,86;922,688;923,069;924,59;992,408;958,596;1,059,675
123;1230;12,633,117;11,604,097;13,410,119;12,043,213;12,355,621;11,635,802;13,073,114;13,742,344;14,861,449;17,312,434;12,969,568;15,329,269
123;1230;373,87;414,11;350,622;351,045;366,974;369,319;475,602;525,464;394,378;421,983;378,865;414,949
123;1230;6,656;7,56;8,827;6,026;12,713;9,665;5,345;8,479;8,241;3,19;6,107;7,812
140;1400;2,613,951;2,588,695;3,473,834;3,907,629;3,319,414;3,165,589;3,324,777;3,001,582;3,327,865;3,718,562;2,502,674;3,954,308
140;1400;3,110,480;2,701,169;3,210,855;3,465,890;3,123,301;3,066,367;2,964,706;2,632,574;3,129,043;4,006,815;2,834,070;3,310,729
140;1400;1,513,973;1,336,594;2,134,129;2,030,499;1,664,700;1,748,867;1,944,832;1,747,731;2,175,456;2,428,200;1,885,105;2,251,195
140;1400;1,519,677;1,196,991;1,600,652;1,917,220;1,529,074;1,231,722;1,431,097;1,367,847;1,191,901;1,341,205;1,172,341;1,375,068
140;1401;781,404;809,841;1,001,597;1,207,009;1,040,876;792,516;885,346;841,687;774,6;822,993;711,51;786,088
140;1401;1,707,457;1,319,888;1,519,991;1,845,753;1,770,437;1,322,015;1,660,419;1,473,557;1,369,598;1,641,617;1,218,825;1,410,887
140;1401;455,22;471,753;572,931;618,39;648,233;390,781;577,792;554,993;566,4;1,029,037;479,132;580,764
140;1401;657,773;592,466;812,197;769,706;740,214;602,853;779,899;610,922;570,323;720,388;591,228;793,231
140;1401;2,191,066;2,227,525;2,648,344;2,432,170;2,466,264;1,919,263;2,263,375;1,949,303;1,931,355;2,335,927;1,821,125;1,954,284
140;1401;236,096;195,754;238,607;254,016;336,81;216,47;267,417;276,846;194,967;269,936;200,962;285,975
140;1402;951,669;900,534;1,018,347;1,032,956;1,063,265;1,041,896;1,043,552;1,000,662;930,806;1,162,647;1,020,400;1,270,311
140;1402;1,421,451;1,337,695;1,556,818;1,591,419;1,659,101;1,507,871;1,745,032;1,731,222;1,557,745;1,772,504;1,614,895;1,944,876
140;1402;516,767;477,398;457,771;421,558;451,519;431,57;487,066;529,097;512,063;588,105;561,483;641,485
140;1402;424,648;405,339;428,749;356,119;406,023;367,65;408,183;459,153;400,676;446,892;486,926;531,681
140;1402;758,466;491,119;425,333;554,625;607,748;538,922;629,476;730,827;680,465;773,124;693,273;806,966
140;1402;240,532;206,751;179,315;180,284;177,237;165,071;185,21;177,114;179,037;192,213;179,86;206,928
140;1402;790,065;731,513;857,041;878,134;933,931;849,225;938,685;945,654;917,23;992,36;750,024;869,351
140;1403;447,526;417,666;472,811;489,542;521,608;494,803;590,771;566,099;543,123;622,474;528,862;580,206
140;1403;908,462;959,882;967,55;857,689;826,195;783,99;924,254;1,092,868;996,678;1,005,261;984,879;1,305,949
140;1404;804,483;800,617;883,605;682,8;877,73;817,37;884,524;939,624;809,659;1,029,774;839,216;1,092,470
140;1404;2,404,909;2,146,654;2,300,167;2,513,438;2,721,616;2,148,139;2,281,767;2,573,179;2,247,328;2,567,278;2,130,435;2,301,472
140;1404;1,482,430;1,263,314;1,398,425;1,561,224;1,372,432;1,325,165;1,418,140;1,512,522;1,349,245;1,536,657;1,166,482;1,364,014
